solx.02.dlnVp.invSAo**  225.75
  157.02    7.24   0.1687E-05
  157.18    7.73  -0.5978E-05
  157.33    8.21  -0.7884E-06
  157.49    8.70   0.5077E-06
  157.65    9.18   0.8098E-07
  157.80    9.67  -0.2323E-07
  157.96   10.15  -0.4893E-08
  158.12   10.63   0.2848E-07
  158.28   11.11  -0.3890E-08
  158.43   11.59  -0.4220E-07
  158.59   12.07   0.5825E-06
  158.75   12.55  -0.2465E-06
  158.91   13.03  -0.1191E-04
  159.07   13.51  -0.2176E-04
  159.23   13.99   0.6370E-04
  159.39   14.47   0.2336E-03
  159.55   14.94   0.7416E-03
  159.72   15.42   0.4463E-02
  159.88   15.90   0.1346E-01
  160.04   16.38   0.1688E-01
  160.21   16.86   0.6538E-02
  160.37   17.34   0.4484E-02
  160.54   17.82  -0.1767E-01
  160.71   18.30  -0.1992E-01
  160.88   18.78  -0.7558E-02
  161.05   19.26  -0.9060E-04
  161.22   19.74   0.7304E-03
  161.39   20.22   0.1489E-03
  161.57   20.70  -0.4438E-04
  161.74   21.18   0.1412E-04
  161.92   21.67   0.2206E-04
  162.10   22.15  -0.9491E-05
  162.28   22.64  -0.1732E-04
  162.46   23.12  -0.4660E-05
  162.65   23.61   0.1417E-05
  162.83   24.10   0.6501E-06
  163.02   24.59   0.5148E-07
  163.21   25.08   0.2074E-07
  163.40   25.57   0.4255E-08
  163.60   26.07  -0.3424E-08
  163.79   26.56  -0.7435E-09
  163.99   27.06   0.1555E-09
  164.20   27.56  -0.4387E-10
  164.40   28.06  -0.2978E-10
  164.61   28.56   0.7613E-11
  164.82   29.06   0.5007E-11
  165.03   29.57   0.1088E-11
  165.25   30.07   0.4021E-11
  165.46   30.58  -0.9979E-11
  165.69   31.09  -0.7017E-10
  165.91   31.61  -0.1666E-09
  166.14   32.12  -0.1925E-10
  166.38   32.64   0.2379E-09
  166.61   33.16   0.9075E-10
  166.86   33.68  -0.1506E-10
  167.10   34.21  -0.2443E-09
  167.35   34.73  -0.2195E-09
  167.61   35.26  -0.9253E-10
  167.87   35.80  -0.8955E-10
  168.13   36.33  -0.1450E-10
  168.40   36.87  -0.7218E-11
  168.68   37.41  -0.4545E-10
  168.96   37.95   0.1391E-10
  169.25   38.50   0.2839E-10
  169.54   39.04  -0.1887E-10
  169.84   39.60  -0.1595E-10
  170.15   40.15   0.1924E-10
  170.47   40.71   0.1008E-09
  170.79   41.27  -0.6980E-09
  171.12   41.83  -0.3473E-08
  171.46   42.40   0.2158E-07
  171.80   42.97   0.6989E-07
  172.16   43.54  -0.4804E-06
  172.53   44.11  -0.3287E-06
  172.90   44.69   0.8751E-05
  173.29   45.27  -0.1218E-04
  173.69   45.86  -0.1468E-03
  174.09   46.45   0.4419E-04
  174.52   47.04   0.1527E-02
